Dimension,State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
DummyDim3,PA,163,806,403-2562,no,yes,300,8.16220402,3,7.5791737,3.93303499,4,6.50863888,4.06575946,100,5.11162391,4.92816021,6,5.67320304,3,True.
DummyDim3,SC,15,836,158-8416,yes,no,0,10.0189927,4,4.22628882,2.32500455,0,9.97259242,7.14103987,200,6.43618762,3.22174762,6,2.55974916,8,False.
DummyDim3,MO,131,777,896-6253,no,yes,300,4.70848992,3,4.76815988,4.53746628,3,4.5667145,5.36323468,100,5.14245087,7.13902305,2,6.25415659,4,False.
DummyDim3,WY,75,878,817-5729,yes,yes,700,1.26873377,3,2.56764159,2.52874788,5,2.33362363,3.77358558,450,3.81441342,2.24577933,6,1.08069204,6,False.
DummyDim3,WY,146,878,450-4942,yes,no,0,2.69617724,3,5.90891587,6.01533707,3,3.67040775,3.75167337,250,2.796812,6.90554529,4,7.13434291,6,True.
DummyDim3,VA,83,866,454-9110,no,no,0,3.63477597,7,4.80489189,6.05194434,5,5.27843696,2.93787999,300,4.81795844,4.94881609,4,5.13532274,5,False.
DummyDim3,IN,140,737,331-5751,yes,no,0,3.22942026,4,3.16508206,2.44015281,8,0.26454309,2.3522739,300,3.86917635,5.39343925,4,1.78476482,4,False.
DummyDim3,LA,54,766,871-3612,no,no,0,0.56792018,6,1.95009839,4.50702683,0,4.47308576,0.68878515,400,6.13213669,5.01274724,5,0.41742094,8,False.
DummyDim3,MO,195,777,249-5723,yes,no,0,5.81111576,6,4.33106502,8.10412615,2,4.47503429,4.20835201,250,5.97457535,4.75015291,7,3.32031079,7,True.
DummyDim3,AL,104,657,767-7682,yes,no,0,2.71442998,7,5.1386692,8.52994378,6,3.32112101,2.34217697,300,4.32896574,3.43355418,5,5.67705785,4,False.
DummyDim3,CA,137,676,185-4876,no,yes,800,3.85904161,3,3.80590292,1.95812252,2,5.86506597,5.60139704,350,3.43644946,4.95536629,9,1.03523121,7,False.
DummyDim3,RI,78,827,276-8625,yes,no,0,6.87293936,2,6.53415734,3.69652017,2,5.82658624,3.49721584,150,6.71005192,6.19451676,4,3.0729146,7,True.
DummyDim3,GA,184,716,815-7162,no,no,0,1.47775859,6,5.53215665,6.71896456,8,1.06114927,2.05902275,350,0.95963298,6.6176566,7,6.19195534,3,False.
DummyDim3,PA,150,806,610-2756,yes,no,0,8.7352398,3,5.60747426,6.9598933,1,8.16798558,2.83933626,150,5.14919228,5.34291778,6,8.14319563,4,True.
DummyDim3,ND,114,786,968-6867,yes,yes,300,6.21598091,4,6.70512587,5.8393795,4,4.24021192,2.7008938,250,7.53349232,5.49146877,5,0.47064509,8,True.
DummyDim3,MS,114,778,756-1787,no,no,0,3.33326867,3,4.88825631,4.77926073,1,4.86477525,2.84992155,200,5.20642165,4.59893792,3,4.77138846,8,True.
