Dimension,State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
DummyDim2,PA,163,806,403-2562,no,yes,300,8.162204022,3,7.579173703,3.933034994,4,6.508638877,4.065759458,100,5.111623915,4.928160206,6,5.673203041,3,True.
DummyDim2,SC,15,836,158-8416,yes,no,0,10.01899266,4,4.226288822,2.325004553,0,9.972592415,7.141039872,200,6.436187619,3.221747623,6,2.559749162,8,False.
DummyDim2,MO,131,777,896-6253,no,yes,300,4.708489917,3,4.768159882,4.537466276,3,4.566714502,5.363234681,100,5.142450865,7.139023053,2,6.254156588,4,False.
DummyDim2,WY,75,878,817-5729,yes,yes,700,1.268733772,3,2.567641586,2.528747882,5,2.33362363,3.773585578,450,3.814413422,2.245779328,6,1.080692041,6,False.
DummyDim2,WY,146,878,450-4942,yes,no,0,2.696177238,3,5.908915869,6.015337072,3,3.670407748,3.751673372,250,2.796811998,6.905545286,4,7.134342911,6,True.
DummyDim2,VA,83,866,454-9110,no,no,0,3.634775967,7,4.804891887,6.051944336,5,5.278436965,2.937879987,300,4.81795844,4.948816088,4,5.135322741,5,False.
DummyDim2,IN,140,737,331-5751,yes,no,0,3.229420256,4,3.165082061,2.44015281,8,0.26454309,2.352273898,300,3.869176348,5.393439249,4,1.78476482,4,False.
DummyDim2,LA,54,766,871-3612,no,no,0,0.567920183,6,1.950098388,4.507026828,0,4.473085756,0.688785148,400,6.132136689,5.012747241,5,0.417420939,8,False.
DummyDim2,MO,195,777,249-5723,yes,no,0,5.811115762,6,4.331065017,8.104126146,2,4.475034293,4.208352015,250,5.97457535,4.750152913,7,3.32031079,7,True.
DummyDim2,AL,104,657,767-7682,yes,no,0,2.714429979,7,5.138669204,8.529943777,6,3.321121008,2.342176971,300,4.328965743,3.433554182,5,5.677057853,4,False.
DummyDim2,CA,137,676,185-4876,no,yes,800,3.85904161,3,3.80590292,1.958122519,2,5.865065968,5.601397036,350,3.436449463,4.955366293,9,1.035231207,7,False.
DummyDim2,RI,78,827,276-8625,yes,no,0,6.872939364,2,6.534157344,3.696520174,2,5.826586242,3.497215844,150,6.710051923,6.194516763,4,3.072914598,7,True.
DummyDim2,GA,184,716,815-7162,no,no,0,1.477758591,6,5.532156653,6.718964555,8,1.061149272,2.059022754,350,0.959632984,6.617656599,7,6.191955344,3,False.
DummyDim2,PA,150,806,610-2756,yes,no,0,8.735239799,3,5.607474259,6.959893299,1,8.167985577,2.839336261,150,5.149192276,5.342917778,6,8.143195635,4,True.
DummyDim2,ND,114,786,968-6867,yes,yes,300,6.215980907,4,6.705125867,5.839379503,4,4.240211919,2.700893798,250,7.533492316,5.491468775,5,0.470645092,8,True.
DummyDim2,MS,114,778,756-1787,no,no,0,3.333268667,3,4.888256309,4.779260734,1,4.86477525,2.84992155,200,5.206421652,4.598937925,3,4.77138846,8,True.
DummyDim2,WY,48,878,889-7926,yes,yes,100,9.813813712,3,7.759409291,8.670985701,3,6.472732176,4.728587845,250,6.254585699,4.284906031,5,5.661948756,5,True.
DummyDim2,NY,142,788,248-9207,yes,no,0,0.631607108,4,0.81736356,4.399597543,0,2.024482319,3.156504871,200,6.124743097,5.644293003,3,1.532017352,10,True.
DummyDim2,NJ,111,787,843-5355,yes,yes,700,11.61561856,2,7.898472493,9.791103721,0,7.37576447,5.144235389,250,6.855467798,4.413320414,4,8.499379731,6,False.
DummyDim2,NM,63,787,360-2799,yes,yes,300,7.331254865,3,8.456739886,9.617906177,6,3.818931666,6.528778715,250,4.539917114,4.952046947,3,8.911840816,5,False.
DummyDim2,ID,124,736,199-4929,yes,no,0,6.350164019,6,5.278668211,6.174900894,4,5.825235277,5.097930528,150,5.93179335,4.882246831,3,5.576146181,6,True.
DummyDim2,DE,111,686,620-9126,no,yes,500,2.018493489,6,5.820356743,8.19113534,6,2.428186871,1.333267799,400,4.967204287,5.256095958,5,4.673462287,5,False.
DummyDim2,WY,182,878,671-4825,yes,yes,200,1.67522982,6,3.999441248,0.642391947,8,4.680588723,3.544147898,100,5.530137404,5.882881558,1,3.308140601,4,False.
DummyDim2,IN,162,737,822-7473,yes,yes,500,1.637895653,4,1.253564333,2.857913575,3,4.654391689,1.858334478,150,4.655465974,3.909770306,3,4.20492245,8,False.
DummyDim2,IL,128,737,247-5360,no,no,0,3.255026006,3,6.43792988,7.138773609,4,3.031720999,2.851625128,300,5.172175165,4.161727937,4,3.922241844,7,True.
DummyDim2,CA,14,676,641-1882,no,no,0,5.435168039,1,5.036441163,7.246933156,0,6.213823231,2.978703792,300,5.506355457,4.740097542,3,6.964495186,7,True.
DummyDim2,NM,56,787,822-3322,yes,yes,200,4.579843133,2,2.001178048,2.525309572,5,0.024721852,3.731893514,150,1.66765635,3.882070668,2,6.690489283,3,False.
DummyDim2,WA,17,876,870-2858,yes,no,0,3.648750847,6,5.789514629,6.374691811,8,4.005674596,4.315006821,200,3.851060791,5.904362433,3,7.297146003,2,False.
DummyDim2,ND,48,786,998-3997,yes,yes,100,1.087469195,4,1.779403327,5.075619562,1,2.214029199,1.323951293,150,4.425674917,5.844585094,4,3.718192501,6,False.
DummyDim2,NM,151,787,350-1439,no,yes,700,4.249924611,2,1.490768827,3.068626766,0,1.18536302,2.170142941,300,0.83354154,5.922975521,7,3.991513381,6,False.
DummyDim2,UT,73,858,890-5917,no,no,0,6.216594914,1,6.043934742,6.767937273,1,6.510837217,0.942185236,250,6.15701372,4.927917533,4,4.6776666,8,True.
DummyDim2,MI,143,777,991-1739,yes,yes,600,1.246611402,4,1.495736346,5.669159748,1,0.95116039,2.966821079,300,5.039623066,4.501992319,5,1.198848166,9,True.
DummyDim2,WI,103,877,113-1209,yes,yes,500,5.532527934,7,5.37694359,6.508780358,4,6.008477077,4.003404088,350,4.739268577,5.066703952,6,3.225194431,7,False.
